nm,n,k ,,,nm
0.462,5.47772119,0.742634667,,,462
0.463,5.46300976,0.715788211,,,463
0.464,5.44766598,0.690022323,,,464
0.465,5.43170134,0.665338196,,,465
0.466,5.41519957,0.641705086,,,466
0.467,5.39827335,0.619099761,,,467
0.468,5.38108621,0.597536606,,,468
0.469,5.36365229,0.577012669,,,469
0.47,5.34600383,0.557511813,,,470
0.471,5.32822478,0.539003306,,,471
0.472,5.31042441,0.521439076,,,472
0.473,5.29261283,0.504809506,,,473
0.474,5.27479961,0.489091699,,,474
0.475,5.257057,0.474200009,,,475
0.476,5.23948885,0.460085611,,,476
0.477,5.22211263,0.4467387,,,477
0.478,5.20492458,0.434155413,,,478
0.479,5.1879479,0.422286973,,,479
0.48,5.17122271,0.411034655,,,480
0.481,5.15475949,0.400364217,,,481
0.482,5.13855441,0.390275077,,,482
0.483,5.12261077,0.380734059,,,483
0.484,5.10696422,0.371665914,,,484
0.485,5.09164052,0.363041075,,,485
0.486,5.07663669,0.354859201,,,486
0.487,5.06194869,0.347114725,,,487
0.488,5.04756125,0.339747661,,,488
0.489,5.033458,0.33268467,,,489
0.49,5.01963593,0.325920795,,,490
0.491,5.0060929,0.319455616,,,491
0.492,4.9928265,0.313274013,,,492
0.493,4.97983947,0.307327724,,,493
0.494,4.96713199,0.301605611,,,494
0.495,4.95470218,0.296107339,,,495
0.496,4.94254713,0.290831432,,,496
0.497,4.93063766,0.285742966,,,497
0.498,4.91894895,0.280805606,,,498
0.499,4.90747904,0.276018144,,,499
0.5,4.89622647,0.271380256,,,500
0.501,4.88518963,0.26688981,,,501
0.502,4.87435656,0.262524675,,,502
0.503,4.86372076,0.258276618,,,503
0.504,4.85328096,0.254145361,,,504
0.505,4.84303586,0.25013061,,,505
0.506,4.8329758,0.246225732,,,506
0.507,4.82307496,0.242410014,,,507
0.508,4.81333049,0.238681429,,,508
0.509,4.80374136,0.235039719,,,509
0.51,4.79430652,0.231484613,,,510
0.511,4.78502152,0.228011996,,,511
0.512,4.77587852,0.22461419,,,512
0.513,4.76687638,0.221290765,,,513
0.514,4.75801415,0.218041473,,,514
0.515,4.7492909,0.214866057,,,515
0.516,4.74069548,0.211758704,,,516
0.517,4.73221352,0.208711756,,,517
0.518,4.72384413,0.205724921,,,518
0.519,4.71558656,0.202797965,,,519
0.52,4.70744003,0.19993065,,,520
0.521,4.69940077,0.19712053,,,521
0.522,4.69146331,0.194364153,,,522
0.523,4.68362683,0.191661214,,,523
0.524,4.67589065,0.189011488,,,524
0.525,4.66825407,0.186414744,,,525
0.526,4.6607134,0.183869017,,,526
0.527,4.65326437,0.181371496,,,527
0.528,4.64590627,0.178921839,,,528
0.529,4.63863848,0.17651983,,,529
0.53,4.63146038,0.17416525,,,530
0.531,4.62436959,0.171856786,,,531
0.532,4.61736102,0.16959101,,,532
0.533,4.61043347,0.167367174,,,533
0.534,4.60358639,0.165185078,,,534
0.535,4.59681923,0.163044519,,,535
0.536,4.5901312,0.160945107,,,536
0.537,4.58351868,0.158884808,,,537
0.538,4.57697826,0.156861911,,,538
0.539,4.57050944,0.154876218,,,539
0.54,4.56411172,0.152927541,,,540
0.541,4.55778448,0.151015601,,,541
0.542,4.5515249,0.149138524,,,542
0.543,4.54533208,0.147294888,,,543
0.544,4.53920564,0.145484385,,,544
0.545,4.53314514,0.143706841,,,545
