nm,n,k ,,,nm
1.558,3.63033291,0.003050856,,,1558
1.559,3.63022749,0.003046117,,,1559
1.56,3.63012228,0.003041391,,,1560
1.561,3.63001729,0.003036677,,,1561
1.562,3.62991251,0.003031976,,,1562
1.563,3.62980795,0.003027288,,,1563
1.564,3.6297036,0.003022611,,,1564
1.565,3.62959946,0.003017948,,,1565
1.566,3.62949553,0.003013296,,,1566
1.567,3.62939181,0.003008657,,,1567
1.568,3.6292883,0.003004029,,,1568
1.569,3.62918499,0.002999414,,,1569
1.57,3.62908189,0.002994811,,,1570
1.571,3.628979,0.002990219,,,1571
1.572,3.62887631,0.00298564,,,1572
1.573,3.62877383,0.002981072,,,1573
1.574,3.62867155,0.002976516,,,1574
1.575,3.62856947,0.002971973,,,1575
1.576,3.6284676,0.00296744,,,1576
1.577,3.62836593,0.00296292,,,1577
1.578,3.62826446,0.002958412,,,1578
1.579,3.62816319,0.002953915,,,1579
1.58,3.62806213,0.002949429,,,1580
1.581,3.62796126,0.002944956,,,1581
1.582,3.62786061,0.002940495,,,1582
1.583,3.62776016,0.002936045,,,1583
1.584,3.62765991,0.002931608,,,1584
1.585,3.62755988,0.002927183,,,1585
1.586,3.62746005,0.00292277,,,1586
1.587,3.62736042,0.002918368,,,1587
1.588,3.627261,0.002913979,,,1588
1.589,3.62716178,0.002909602,,,1589
1.59,3.62706276,0.002905236,,,1590
1.591,3.62696395,0.002900882,,,1591
1.592,3.62686534,0.002896541,,,1592
1.593,3.62676693,0.00289221,,,1593
1.594,3.62666873,0.002887892,,,1594
1.595,3.62657072,0.002883585,,,1595
1.596,3.62647292,0.00287929,,,1596
1.597,3.62637531,0.002875007,,,1597
1.598,3.6262779,0.002870735,,,1598
1.599,3.6261807,0.002866475,,,1599
1.6,3.62608369,0.002862226,,,1600
1.601,3.62598687,0.002857989,,,1601
1.602,3.62589026,0.002853763,,,1602
1.603,3.62579384,0.002849549,,,1603
1.604,3.62569762,0.002845346,,,1604
1.605,3.62560159,0.002841155,,,1605
1.606,3.62550576,0.002836974,,,1606
1.607,3.62541013,0.002832806,,,1607
1.608,3.62531468,0.002828648,,,1608
1.609,3.62521943,0.002824502,,,1609
1.61,3.62512438,0.002820366,,,1610
1.611,3.62502951,0.002816241,,,1611
1.612,3.62493484,0.002812128,,,1612
1.613,3.62484036,0.002808025,,,1613
1.614,3.62474607,0.002803932,,,1614
1.615,3.62465197,0.002799851,,,1615
1.616,3.62455806,0.00279578,,,1616
1.617,3.62446434,0.00279172,,,1617
1.618,3.6243708,0.002787671,,,1618
1.619,3.62427746,0.002783632,,,1619
1.62,3.6241843,0.002779604,,,1620
1.621,3.62409133,0.002775586,,,1621
1.622,3.62399855,0.00277158,,,1622
1.623,3.62390595,0.002767583,,,1623
1.624,3.62381354,0.002763597,,,1624
1.625,3.62372131,0.002759622,,,1625
1.626,3.62362927,0.002755657,,,1626
1.627,3.62353741,0.002751702,,,1627
1.628,3.62344574,0.002747758,,,1628
1.629,3.62335425,0.002743824,,,1629
1.63,3.62326294,0.0027399,,,1630
1.631,3.62317182,0.002735987,,,1631
1.632,3.62308087,0.002732083,,,1632
1.633,3.62299007,0.002728187,,,1633
1.634,3.62289941,0.002724298,,,1634
1.635,3.62280889,0.002720416,,,1635
1.636,3.62271852,0.00271654,,,1636
1.637,3.62262828,0.002712673,,,1637
1.638,3.62253819,0.002708812,,,1638
1.639,3.62244824,0.002704958,,,1639
1.64,3.62235843,0.002701111,,,1640
1.641,3.62226876,0.002697271,,,1641
1.642,3.62217923,0.002693438,,,1642
1.643,3.62208984,0.002689612,,,1643
1.644,3.62200059,0.002685792,,,1644
1.645,3.62191148,0.00268198,,,1645
1.646,3.62182251,0.002678175,,,1646
1.647,3.62173368,0.002674376,,,1647
1.648,3.62164498,0.002670585,,,1648
1.649,3.62155643,0.0026668,,,1649
1.65,3.62146801,0.002663022,,,1650
1.651,3.62137973,0.002659251,,,1651
1.652,3.62129158,0.002655487,,,1652
1.653,3.62120358,0.002651729,,,1653
1.654,3.62111571,0.002647979,,,1654
1.655,3.62102797,0.002644235,,,1655
1.656,3.62094038,0.002640498,,,1656
1.657,3.62085293,0.002636768,,,1657
1.658,3.62076562,0.002633045,,,1658
1.659,3.62067845,0.002629329,,,1659
1.66,3.62059143,0.002625621,,,1660
1.661,3.62050455,0.00262192,,,1661
1.662,3.62041781,0.002618225,,,1662
1.663,3.6203312,0.002614538,,,1663
1.664,3.62024474,0.002610858,,,1664
1.665,3.62015842,0.002607184,,,1665
1.666,3.62007224,0.002603518,,,1666
1.667,3.6199862,0.002599859,,,1667
1.668,3.6199003,0.002596206,,,1668
1.669,3.61981454,0.002592561,,,1669
1.67,3.61972891,0.002588922,,,1670
1.671,3.61964342,0.002585291,,,1671
1.672,3.61955808,0.002581666,,,1672
1.673,3.61947286,0.002578048,,,1673
1.674,3.61938779,0.002574437,,,1674
1.675,3.61930285,0.002570833,,,1675
1.676,3.61921805,0.002567235,,,1676
1.677,3.61913339,0.002563645,,,1677
1.678,3.61904886,0.002560061,,,1678
1.679,3.61896447,0.002556484,,,1679
1.68,3.61888022,0.002552914,,,1680
1.681,3.61879609,0.00254935,,,1681
1.682,3.61871211,0.002545794,,,1682
1.683,3.61862826,0.002542244,,,1683
1.684,3.61854454,0.0025387,,,1684
1.685,3.61846096,0.002535164,,,1685
1.686,3.61837751,0.002531633,,,1686
1.687,3.61829419,0.00252811,,,1687
1.688,3.61821101,0.002524593,,,1688
1.689,3.61812796,0.002521083,,,1689
1.69,3.61804504,0.00251758,,,1690
1.691,3.61796226,0.002514083,,,1691
1.692,3.6178796,0.002510592,,,1692
1.693,3.61779708,0.002507109,,,1693
1.694,3.61771469,0.002503631,,,1694
1.695,3.61763243,0.002500161,,,1695
1.696,3.61755031,0.002496696,,,1696
1.697,3.61746831,0.002493239,,,1697
1.698,3.61738644,0.002489787,,,1698
